tipo,provincia,escig,esciep,esciem,esciesm,escie,esciete,essidt,essid,essit,escl,porcentaje,total
Publicos y Privados, Buenos Aires,589.0,13.0,22.0,205.0,228.0,912.0,2636.0,74.0,532.0,361.0,27.2,5572.0
Publicos y Privados, Santa Fe,257.0,6.0,4.0,32.0,7.0,116.0,875.0,530.0,39.0,42.0,9.3,1908.0
Publicos y Privados, Córdoba,306.0,5.0,6.0,15.0,14.0,273.0,994.0,31.0,37.0,172.0,9.0,1853.0
Publicos y Privados, Mendoza,50.0,3.0,2.0,9.0,16.0,114.0,545.0,337.0,44.0,49.0,5.7,1169.0
Publicos y Privados, CABA,78.0,5.0,3.0,37.0,45.0,1.0,592.0,136.0,61.0,58.0,5.0,1016.0
Publicos y Privados, Tucumán,59.0,4.0,2.0,8.0,12.0,13.0,626.0,232.0,15.0,20.0,4.8,991.0
Publicos y Privados, Misiones,98.0,1.0,1.0,4.0,2.0,34.0,416.0,176.0,17.0,53.0,3.9,802.0
Publicos y Privados, Santiago del Estero,71.0,3.0,2.0,2.0,10.0,-,592.0,45.0,7.0,15.0,3.6,747.0
Publicos y Privados, Chaco,91.0,1.0,-,4.0,3.0,8.0,523.0,14.0,14.0,28.0,3.3,686.0
Publicos y Privados, Salta,82.0,1.0,2.0,4.0,-,2.0,443.0,9.0,38.0,56.0,3.1,637.0
Publicos y Privados, Entre Ríos,90.0,2.0,3.0,8.0,9.0,14.0,384.0,51.0,12.0,13.0,2.9,586.0
Publicos y Privados, Corrientes,74.0,2.0,3.0,4.0,1.0,6.0,390.0,21.0,28.0,4.0,2.6,533.0
Publicos y Privados, Río Negro,52.0,-,-,1.0,2.0,50.0,224.0,86.0,30.0,2.0,2.2,447.0
Publicos y Privados, San Juan,30.0,-,2.0,9.0,19.0,23.0,284.0,29.0,32.0,15.0,2.2,443.0
Publicos y Privados, Formosa,67.0,-,4.0,1.0,4.0,3.0,311.0,8.0,10.0,16.0,2.1,424.0
Publicos y Privados, Catamarca,49.0,1.0,3.0,2.0,3.0,11.0,313.0,10.0,13.0,15.0,2.0,420.0
Publicos y Privados, Jujuy,32.0,1.0,-,2.0,4.0,1.0,344.0,-,19.0,4.0,2.0,407.0
Publicos y Privados, Chubut,47.0,-,2.0,6.0,3.0,2.0,209.0,61.0,39.0,12.0,1.9,381.0
Publicos y Privados, Neuquén,38.0,-,2.0,4.0,1.0,12.0,224.0,38.0,14.0,11.0,1.7,344.0
Publicos y Privados, La Pampa,49.0,-,-,1.0,5.0,-,167.0,58.0,7.0,38.0,1.6,325.0
Publicos y Privados, San Luis,27.0,-,4.0,-,6.0,-,199.0,10.0,10.0,-,1.2,256.0
Publicos y Privados, La Rioja,41.0,-,7.0,3.0,2.0,-,182.0,-,2.0,5.0,1.2,242.0
Publicos y Privados, Santa Cruz,26.0,-,-,1.0,-,1.0,106.0,40.0,49.0,10.0,1.1,233.0
Publicos y Privados, Tierra del Fuego,7.0,-,-,1.0,2.0,-,44.0,6.0,1.0,24.0,0.4,85.0
Publicos y Privados,TOTAL,2310.0,48.0,74.0,363.0,398.0,1596.0,11623.0,2002.0,1070.0,1023.0,100.0,20507.0
Publicos, Buenos Aires,229.0,6.0,15.0,11.0,20.0,118.0,1771.0,1.0,20.0,42.0,23.1,2233.0
Publicos, Córdoba,124.0,3.0,3.0,3.0,1.0,36.0,651.0,2.0,-,2.0,8.5,825.0
Publicos, Santa Fe,122.0,3.0,1.0,4.0,3.0,1.0,615.0,1.0,2.0,-,7.8,752.0
Publicos, Santiago del Estero,49.0,2.0,1.0,1.0,3.0,-,565.0,1.0,-,8.0,6.5,630.0
Publicos, Salta,56.0,-,1.0,2.0,-,-,396.0,3.0,-,2.0,4.8,460.0
Publicos, Chaco,50.0,1.0,-,-,-,-,372.0,1.0,1.0,3.0,4.4,428.0
Publicos, Entre Ríos,59.0,-,2.0,3.0,1.0,3.0,330.0,-,3.0,1.0,4.2,402.0
Publicos, Misiones,37.0,1.0,1.0,1.0,1.0,15.0,340.0,5.0,-,1.0,4.2,402.0
Publicos, Mendoza,16.0,2.0,-,4.0,1.0,3.0,353.0,1.0,1.0,12.0,4.1,393.0
Publicos, Catamarca,34.0,1.0,1.0,1.0,-,2.0,310.0,-,2.0,9.0,3.7,360.0
Publicos, Tucumán,30.0,1.0,1.0,3.0,1.0,1.0,320.0,-,-,-,3.7,357.0
Publicos, Jujuy,19.0,1.0,-,1.0,1.0,-,322.0,-,-,4.0,3.6,348.0
Publicos, Formosa,39.0,-,1.0,1.0,-,1.0,280.0,-,1.0,1.0,3.4,324.0
Publicos, Corrientes,45.0,1.0,-,2.0,1.0,1.0,252.0,10.0,1.0,2.0,3.3,315.0
Publicos, La Rioja,32.0,-,3.0,-,1.0,-,178.0,-,-,2.0,2.2,216.0
Publicos, Río Negro,33.0,-,-,-,-,3.0,173.0,2.0,1.0,1.0,2.2,213.0
Publicos, San Juan,15.0,-,-,1.0,-,1.0,155.0,2.0,2.0,5.0,1.9,181.0
Publicos, Chubut,33.0,-,1.0,-,-,-,129.0,1.0,12.0,1.0,1.8,177.0
Publicos, San Luis,22.0,-,1.0,-,-,-,131.0,1.0,-,-,1.6,155.0
Publicos, Neuquén,29.0,-,-,-,-,-,120.0,1.0,-,-,1.6,150.0
Publicos, CABA,20.0,3.0,1.0,5.0,12.0,-,90.0,-,-,7.0,1.4,138.0
Publicos, La Pampa,36.0,-,-,-,-,-,79.0,-,-,-,1.2,115.0
Publicos, Santa Cruz,21.0,-,-,1.0,-,1.0,45.0,1.0,1.0,1.0,0.7,71.0
Publicos, Tierra del Fuego,4.0,-,-,-,1.0,-,18.0,-,1.0,1.0,0.3,25.0
Publicos,TOTAL,1154.0,25.0,33.0,44.0,47.0,186.0,7995.0,33.0,48.0,105.0,100.0,9670.0
Privados, Buenos Aires,360.0,7.0,7.0,194.0,208.0,794.0,865.0,73.0,512.0,319.0,30.8,3339.0
Privados, Santa Fe,135.0,3.0,3.0,28.0,4.0,115.0,260.0,529.0,37.0,42.0,10.7,1156.0
Privados, Córdoba,182.0,2.0,3.0,12.0,13.0,237.0,343.0,29.0,37.0,170.0,9.5,1028.0
Privados, CABA,58.0,2.0,2.0,32.0,33.0,1.0,502.0,136.0,61.0,51.0,8.1,878.0
Privados, Mendoza,34.0,1.0,2.0,5.0,15.0,111.0,192.0,336.0,43.0,37.0,7.2,776.0
Privados, Tucumán,29.0,3.0,1.0,5.0,11.0,12.0,306.0,232.0,15.0,20.0,5.9,634.0
Privados, Misiones,61.0,-,-,3.0,1.0,19.0,76.0,171.0,17.0,52.0,3.7,400.0
Privados, San Juan,15.0,-,2.0,8.0,19.0,22.0,129.0,27.0,30.0,10.0,2.4,262.0
Privados, Chaco,41.0,-,-,4.0,3.0,8.0,151.0,13.0,13.0,25.0,2.4,258.0
Privados, Río Negro,19.0,-,-,1.0,2.0,47.0,51.0,84.0,29.0,1.0,2.2,234.0
Privados, Corrientes,29.0,1.0,3.0,2.0,-,5.0,138.0,11.0,27.0,2.0,2.0,218.0
Privados, La Pampa,13.0,-,-,1.0,5.0,-,88.0,58.0,7.0,38.0,1.9,210.0
Privados, Chubut,14.0,-,1.0,6.0,3.0,2.0,80.0,60.0,27.0,11.0,1.9,204.0
Privados, Neuquén,9.0,-,2.0,4.0,1.0,12.0,104.0,37.0,14.0,11.0,1.8,194.0
Privados, Entre Ríos,31.0,2.0,1.0,5.0,8.0,11.0,54.0,51.0,9.0,12.0,1.7,184.0
Privados, Salta,26.0,1.0,1.0,2.0,-,2.0,47.0,6.0,38.0,54.0,1.6,177.0
Privados, Santa Cruz,5.0,-,-,-,-,-,61.0,39.0,48.0,9.0,1.5,162.0
Privados, Santiago del Estero,22.0,1.0,1.0,1.0,7.0,-,27.0,44.0,7.0,7.0,1.1,117.0
Privados, San Luis,5.0,-,3.0,-,6.0,-,68.0,9.0,10.0,-,0.9,101.0
Privados, Formosa,28.0,-,3.0,-,4.0,2.0,31.0,8.0,9.0,15.0,0.9,100.0
Privados, Catamarca,15.0,-,2.0,1.0,3.0,9.0,3.0,10.0,11.0,6.0,0.6,60.0
Privados, Tierra del Fuego,3.0,-,-,1.0,1.0,-,26.0,6.0,-,23.0,0.6,60.0
Privados, Jujuy,13.0,-,-,1.0,3.0,1.0,22.0,-,19.0,-,0.5,59.0
Privados, La Rioja,9.0,-,4.0,3.0,1.0,-,4.0,-,2.0,3.0,0.2,26.0
Privados,TOTAL,1156.0,23.0,41.0,319.0,351.0,1410.0,3628.0,1969.0,1022.0,918.0,100.0,10837.0
